horizon,n_windows,mae,rmse,mape_pct,mean_error,model
1,106,0.002246,0.002836,0.435000,0.000496,current
3,106,0.009219,0.011398,1.730000,0.002655,current
6,106,0.021826,0.026989,4.001000,0.007707,current
12,106,0.052177,0.063250,9.282000,0.019999,current
24,106,0.108943,0.119654,19.067000,0.043860,current
1,106,0.002233,0.002822,0.434000,0.000523,simplified
3,106,0.009165,0.011304,1.731000,0.002799,simplified
6,106,0.021605,0.026834,3.977000,0.008139,simplified
12,106,0.051804,0.063046,9.176000,0.021323,simplified
24,106,0.107299,0.117696,18.680000,0.047892,simplified
1,106,0.002236,0.002820,0.433000,0.000542,seasonal
3,106,0.009427,0.011551,1.739000,0.002826,seasonal
6,106,0.023179,0.028803,4.177000,0.008040,seasonal
12,106,0.055545,0.067899,9.531000,0.019971,seasonal
24,106,0.112408,0.125704,19.128000,0.049131,seasonal
