Region,beta_median,beta_hat_slope_ratio,T_M_years,T_r_obs_years,delta_beta
Melbourne,1.22,1.221,9.957,8.155,0.001
Brisbane,1.1,0.99,9.957,10.061,-0.11
Darwin,1.03,1.012,9.957,9.837,-0.018
ACT,1.02,1.03,9.957,9.666,0.01
Hobart,1.02,1.074,9.957,9.268,0.054
Sydney,1.01,1.013,9.957,9.829,0.003
Adelaide,0.96,0.979,9.957,10.171,0.019
Perth,0.96,0.875,9.957,11.384,-0.085
Rest Of Tas.,0.93,0.989,9.957,10.065,0.059
Rest Of QLD,0.87,0.833,9.957,11.948,-0.037
Rest Of NSW,0.83,0.953,9.957,10.453,0.123
Rest Of Vic.,0.82,1.05,9.957,9.485,0.23
Rest Of WA,0.77,0.704,9.957,14.141,-0.066
Rest Of SA,0.74,0.786,9.957,12.668,0.046
