Region,beta_r,fr_if_fM_2,var_PS,var_L,var_eps,var_tot,w_tot,sh_PS,sh_L,sh_eps
Melbourne,1.22,2.33,0.0014361900000000004,0.010155689099999999,0.001737,0.0133288791,0.22628349906822637,0.10775024585525728,0.7619312189574889,0.13031853518725367
Brisbane,1.1,2.14,0.00026379,0.0032444451000000003,0.000689,0.0041972351,0.12698070073897055,0.06284851663420045,0.7729957990678197,0.1641556842979799
Darwin,1.03,2.04,0.0012383475000000003,0.0007700491,0.010497,0.0125053966,0.21918195997517678,0.09902504811402785,0.061577343336715926,0.8393976085492563
ACT,1.02,2.03,0.0005935275,0.0003604939,0.003991,0.0049450214,0.13782885840868014,0.12002526419804775,0.07290037207927957,0.8070743637226726
Hobart,1.02,2.03,0.0008866275,0.0098634544,0.032639,0.0433890819,0.40826890284105644,0.020434345719585276,0.22732572269522947,0.7522399315851853
Sydney,1.01,2.01,0.013548547499999999,0.0004180876,0.00113,0.015096635099999998,0.24082199525824047,0.8974547911010978,0.02769409191058742,0.07485111698831484
Adelaide,0.96,1.95,0.00018318750000000005,0.00017278109999999998,0.001907,0.0022629686,0.09323851228843154,0.0809500847691833,0.07635152339276824,0.8426983918380485
Perth,0.96,1.95,0.026379000000000003,0.0003604939,0.001053,0.027792493900000003,0.32675318600778785,0.9491411636146837,0.012970908666818128,0.03788792771849812
Rest Of Tas.,0.93,1.91,0.0014361900000000004,0.006220119600000001,0.004822,0.012478309600000001,0.21894445450698222,0.11509491638194329,0.4984745369677316,0.3864305466503251
Rest Of QLD,0.87,1.83,0.0014361900000000004,0.0037627883999999993,0.000378,0.0055769784,0.14637117278152825,0.2575211695279294,0.6747001924913317,0.06777863798073883
Rest Of NSW,0.83,1.78,0.0,0.0026130474999999996,0.000259,0.0028720474999999997,0.10503931490637208,0.0,0.9098204329837859,0.09017956701621406
Rest Of Vic.,0.82,1.77,2.9310000000000006e-05,0.0001365184,0.002463,0.0026288284,0.1004933190885842,0.011149453497991731,0.05193127097987834,0.93691927552213
Rest Of WA,0.77,1.71,0.00237411,2.1331e-06,0.002273,0.0046492431,0.13364330246203887,0.5106444100546172,0.0004588058645502963,0.48889678408083237
Rest Of SA,0.74,1.67,0.0004689600000000001,0.0006911243999999999,0.001407,0.0025670844,0.0993061500161999,0.18268195623018865,0.26922542944049677,0.5480926143293147
